F_PU1,F_PU2,F_PU3,F_PU8,F_V2,L_T1,P_J14,P_J269,P_J280,P_J302,P_J422,S_PU1,S_PU2,S_PU3,S_PU8,S_V2,ATTACK_FLAG
94.89,94.91,0.0,0.0,79.45,1.27,32.64,35.71,2.98,30.23,31.74,1,1,0,0,1,0
93.37,93.39,0.0,0.0,65.22,1.64,35.34,36.52,2.98,31.15,34.44,1,1,0,0,1,0
88.72,88.74,0.0,0.0,0.0,2.11,42.54,38.96,2.98,30.66,31.69,1,1,0,0,0,0
90.53,90.54,0.0,0.0,0.0,2.62,41.55,38.02,2.98,29.99,29.47,1,1,0,0,0,0
92.93,92.95,0.0,36.41,0.0,3.05,39.89,36.75,2.98,22.02,28.96,1,1,0,1,0,0
93.62,93.64,0.0,36.27,0.0,3.25,39.58,36.39,2.98,21.72,28.44,1,1,0,1,0,0
93.32,93.34,0.0,36.16,0.0,3.4,39.79,36.55,2.98,22.09,25.08,1,1,0,1,0,0
90.15,90.17,0.0,38.57,0.0,3.62,41.94,38.22,2.98,29.72,24.42,1,1,0,1,0,0
90.91,90.93,0.0,35.71,0.0,3.99,41.29,37.82,2.98,23.18,23.67,1,1,0,1,0,0
93.16,93.18,0.0,35.53,0.0,4.24,40.15,36.63,2.98,22.37,22.81,1,1,0,1,0,0
95.37,95.39,0.0,34.97,110.8,4.24,28.52,35.46,2.98,22.02,27.62,1,1,0,1,1,0
95.35,95.37,0.0,0.0,110.21,4.13,28.79,35.47,2.98,28.73,27.89,1,1,0,0,1,0
94.98,95.0,0.0,0.0,100.28,4.05,30.43,35.66,2.98,28.98,29.53,1,1,0,0,1,0
94.25,94.26,0.0,0.0,80.73,4.03,33.38,36.06,2.98,29.14,32.48,1,1,0,0,1,0
95.16,95.18,0.0,37.92,93.59,4.13,31.29,35.57,2.98,28.01,30.39,1,1,0,1,1,0
96.01,96.03,0.0,35.88,88.04,4.03,31.37,35.11,2.98,21.4,30.47,1,1,0,1,1,0
95.51,95.53,0.0,35.53,87.24,3.83,31.69,35.38,2.98,21.58,30.79,1,1,0,1,1,0
96.43,96.45,0.0,35.86,82.17,3.69,31.78,34.89,2.98,20.96,30.88,1,1,0,1,1,0
96.42,96.44,0.0,35.75,87.28,3.47,31.06,34.89,2.98,20.94,30.16,1,1,0,1,1,0
96.73,96.75,0.0,35.29,85.67,3.29,31.04,34.73,2.98,20.89,30.14,1,1,0,1,1,0
98.57,98.59,0.0,34.24,83.36,0.74,29.48,33.74,2.97,19.29,28.58,1,1,0,1,1,0
97.02,97.04,0.0,35.07,84.35,3.08,31.0,34.58,2.98,20.86,30.1,1,1,0,1,1,0
95.62,95.64,0.0,34.84,89.34,2.9,31.05,35.32,2.98,21.93,30.15,1,1,0,1,1,0
95.61,95.63,0.0,36.42,89.36,2.88,31.12,35.33,2.98,27.31,30.22,1,1,0,1,1,0
93.54,93.56,0.0,0.0,84.85,3.06,33.22,36.43,2.98,31.65,32.32,1,1,0,0,1,0
93.63,93.65,0.0,0.0,85.05,3.32,32.97,36.39,2.98,28.87,32.07,1,1,0,0,1,0
93.49,93.5,0.0,0.0,83.29,3.49,33.33,36.46,2.98,29.06,32.43,1,1,0,0,1,0
92.8,92.82,0.0,0.0,67.61,3.69,35.9,36.82,2.98,32.38,35.0,1,1,0,0,1,0
86.4,86.41,0.0,0.0,0.0,4.18,44.79,40.17,2.98,35.81,31.84,1,1,0,0,0,0
111.31,0.0,0.0,0.0,0.0,4.59,39.19,26.72,2.99,29.52,29.87,1,0,0,0,0,0
113.38,0.0,0.0,36.7,0.0,4.53,38.15,25.55,2.99,21.66,29.36,1,0,0,1,0,0
114.06,0.0,0.0,36.0,0.0,4.35,37.78,25.16,2.99,21.48,28.84,1,0,0,1,0,0
113.64,0.0,0.0,35.42,0.0,4.14,37.93,25.4,2.99,21.87,25.55,1,0,0,1,0,0
113.88,0.0,0.0,35.98,0.0,3.99,37.78,25.26,2.99,21.87,24.61,1,0,0,1,0,0
112.54,0.0,0.0,35.34,0.0,3.84,38.29,26.03,2.99,22.25,23.94,1,0,0,1,0,0
113.41,0.0,0.0,35.29,0.0,3.82,37.93,25.53,2.99,22.03,23.15,1,0,0,1,0,0
116.06,0.0,0.0,0.0,101.95,3.78,28.27,24.02,2.99,27.51,27.37,1,0,0,0,1,0
117.87,0.0,0.0,0.0,94.33,3.46,28.22,22.98,2.99,26.5,27.32,1,0,0,0,1,0
116.13,0.0,0.0,0.0,91.92,3.17,29.65,23.98,2.99,30.02,28.75,1,0,0,0,1,0
117.36,0.0,0.0,0.0,84.85,2.94,29.67,23.27,2.99,26.47,28.77,1,0,0,0,1,0
119.87,0.0,0.0,35.1,72.72,2.58,29.4,21.82,2.99,18.44,28.5,1,0,0,1,1,0
120.72,0.0,0.0,34.9,67.42,2.14,29.42,21.33,2.99,17.9,28.52,1,0,0,1,1,0
121.02,0.0,0.0,34.67,64.36,1.7,29.5,21.16,2.99,17.74,28.6,1,0,0,1,1,0
121.89,0.0,0.0,34.48,58.69,1.27,29.5,20.65,2.99,17.21,28.6,1,0,0,1,1,0
98.92,98.94,0.0,34.9,81.97,0.93,29.53,33.55,2.97,18.94,28.63,1,1,0,1,1,0
98.66,98.68,0.0,34.25,82.89,0.8,29.51,33.69,2.97,19.37,28.61,1,1,0,1,1,0
97.77,97.79,0.0,33.98,85.9,0.7,29.54,34.17,2.97,19.92,28.64,1,1,0,1,1,0
96.96,96.98,0.0,0.0,78.71,0.71,31.06,34.61,2.98,26.41,30.16,1,1,0,0,1,0
96.85,96.87,0.0,0.0,76.82,0.89,31.41,34.67,2.98,26.59,30.51,1,1,0,0,1,0
95.43,95.45,0.0,0.0,85.06,1.09,31.54,35.43,2.98,29.88,30.64,1,1,0,0,1,0
95.67,95.69,0.0,0.0,82.61,1.4,31.77,35.3,2.98,29.95,30.87,1,1,0,0,1,0
95.48,95.5,0.0,0.0,63.39,1.65,33.95,35.4,2.98,27.31,33.05,1,1,0,0,1,0
95.41,95.43,0.0,0.0,60.41,1.86,34.36,35.44,2.98,27.42,33.46,1,1,0,0,1,0
96.77,96.79,0.0,35.35,69.39,1.9,32.5,34.71,2.98,20.44,31.6,1,1,0,1,1,0
96.96,96.98,0.0,35.46,67.39,1.87,32.62,34.6,2.98,20.38,31.72,1,1,0,1,1,0
97.57,97.59,0.0,35.22,63.87,1.83,32.69,34.28,2.97,20.0,31.79,1,1,0,1,1,0
97.26,97.28,0.0,34.86,67.81,1.75,32.39,34.44,2.97,20.3,31.49,1,1,0,1,1,0
97.05,97.06,0.0,35.01,69.58,1.69,32.27,34.56,2.97,20.38,31.37,1,1,0,1,1,0
96.63,96.65,0.0,36.74,73.04,1.75,32.21,34.78,2.98,26.22,31.31,1,1,0,1,1,0
96.51,96.53,0.0,0.0,74.66,1.92,32.17,34.85,2.98,26.95,31.27,1,1,0,0,1,0
96.28,96.3,0.0,0.0,66.99,2.04,33.22,34.97,2.98,27.13,32.32,1,1,0,0,1,0
92.07,92.08,0.0,0.0,0.0,2.17,40.51,37.21,2.98,29.04,29.92,1,1,0,0,0,0
93.34,93.36,0.0,35.87,0.0,2.53,39.52,36.54,2.98,21.73,29.42,1,1,0,1,0,0
92.81,92.83,0.0,35.78,0.0,2.74,39.88,36.82,2.98,22.03,28.89,1,1,0,1,0,0
93.03,93.04,0.0,35.94,0.0,2.97,39.82,36.7,2.98,22.04,28.38,1,1,0,1,0,0
93.46,93.48,0.0,35.79,0.0,3.18,39.65,36.48,2.98,21.91,27.84,1,1,0,1,0,0
93.68,93.7,0.0,36.07,0.0,3.35,39.58,36.36,2.98,21.76,27.31,1,1,0,1,0,0
93.8,93.82,0.0,35.98,0.0,3.49,39.56,36.29,2.98,21.68,23.73,1,1,0,1,0,0
93.09,93.11,0.0,35.82,0.0,3.61,39.98,36.67,2.98,22.24,23.06,1,1,0,1,0,0
95.72,95.73,0.0,34.97,108.54,3.77,28.54,35.27,2.98,22.0,27.64,1,1,0,1,1,0
94.41,94.43,0.0,0.0,111.69,3.76,29.05,35.97,2.98,31.55,28.15,1,1,0,0,1,0
94.21,94.23,0.0,0.0,110.78,3.9,29.35,36.08,2.98,31.7,28.45,1,1,0,0,1,0
93.74,93.76,0.0,0.0,100.75,3.95,30.95,36.33,2.98,29.18,30.05,1,1,0,0,1,0
92.69,92.71,0.0,0.0,82.27,4.09,34.11,36.88,2.98,30.0,33.21,1,1,0,0,1,0
91.83,91.85,0.0,0.0,81.98,4.36,34.96,37.33,2.98,33.02,34.06,1,1,0,0,1,0
112.84,0.0,0.0,0.0,87.39,4.46,32.22,25.85,2.99,31.85,31.32,1,0,0,0,1,0
115.57,0.0,0.0,34.83,74.49,4.24,31.91,24.3,2.99,21.3,31.01,1,0,0,1,1,0
115.15,0.0,0.0,34.97,55.9,3.93,33.96,24.54,2.99,21.43,33.06,1,0,0,1,1,0
117.1,0.0,0.0,35.06,61.29,3.64,32.33,23.42,2.99,20.23,31.43,1,0,0,1,1,0
117.91,0.0,0.0,34.84,55.95,3.27,32.34,22.96,2.99,19.8,31.44,1,0,0,1,1,0
117.06,0.0,0.0,0.0,60.91,2.91,32.48,23.44,2.99,26.8,31.58,1,0,0,0,1,0
117.84,0.0,0.0,0.0,63.4,2.64,31.76,22.99,2.99,26.28,30.86,1,0,0,0,1,0
118.36,0.0,0.0,0.0,62.72,2.36,31.5,22.69,2.99,25.98,30.6,1,0,0,0,1,0
119.1,0.0,0.0,35.35,59.37,2.07,31.15,22.27,2.99,18.95,30.25,1,0,0,1,1,0
120.07,0.0,0.0,35.07,57.0,1.72,30.77,21.7,2.99,18.43,29.87,1,0,0,1,1,0
121.36,0.0,0.0,34.83,53.51,1.34,30.31,20.96,2.99,17.61,29.41,1,0,0,1,1,0
98.91,98.93,0.0,35.04,67.76,0.98,31.25,33.55,2.97,19.09,30.35,1,1,0,1,1,0
98.74,98.76,0.0,35.03,66.86,0.87,31.4,33.65,2.97,18.98,30.5,1,1,0,1,1,0
98.94,98.96,0.0,34.89,64.69,0.78,31.5,33.54,2.97,18.94,30.6,1,1,0,1,1,0
98.72,98.74,0.0,34.75,64.25,0.69,31.62,33.66,2.97,18.93,30.72,1,1,0,1,1,0
98.9,98.92,0.0,34.63,62.31,0.62,31.72,33.56,2.97,19.02,30.82,1,1,0,1,1,0
98.35,98.37,0.0,34.65,67.73,0.55,31.37,33.86,2.97,19.14,30.47,1,1,0,1,1,0
97.97,97.99,0.0,0.0,71.15,0.55,31.32,34.06,2.97,25.8,30.42,1,1,0,0,1,0
97.82,97.84,0.0,0.0,73.12,0.67,31.22,34.14,2.97,25.91,30.32,1,1,0,0,1,0
97.35,97.37,0.0,0.0,75.93,0.79,31.19,34.4,2.97,26.39,30.29,1,1,0,0,1,0
96.31,96.33,0.0,0.0,82.88,0.96,31.23,34.95,2.98,29.47,30.33,1,1,0,0,1,0
96.42,96.44,0.0,36.45,74.83,1.2,31.95,34.9,2.98,26.07,31.05,1,1,0,1,1,0
95.42,95.44,0.0,34.31,58.42,1.33,34.16,35.43,2.98,20.85,33.26,1,1,0,1,1,0
94.68,94.7,0.0,34.72,57.66,1.48,34.71,35.83,2.98,21.15,33.81,1,1,0,1,1,0
96.67,96.68,0.0,34.5,64.71,1.63,32.95,34.76,2.98,20.82,32.05,1,1,0,1,1,0
88.17,88.19,0.0,0.0,0.0,2.06,43.27,39.25,2.98,34.09,29.41,1,1,0,0,0,0
90.28,90.29,0.0,0.0,0.0,2.61,41.69,38.15,2.98,30.0,28.88,1,1,0,0,0,0
93.57,93.59,0.0,0.0,0.0,3.04,39.85,36.42,2.98,28.72,28.37,1,1,0,0,0,1
92.0,92.02,0.0,0.0,0.0,3.3,40.83,37.25,2.98,29.64,27.85,1,1,0,0,0,1
92.42,92.43,0.0,36.29,0.0,3.53,40.33,37.03,2.98,22.59,24.49,1,1,0,1,0,1
92.02,92.04,0.0,36.03,0.0,3.73,40.6,37.24,2.98,22.62,23.75,1,1,0,1,0,1
91.92,91.93,0.0,35.9,0.0,3.94,40.72,37.29,2.98,22.89,26.88,1,1,0,1,0,1
91.28,91.3,0.0,36.03,0.0,4.14,41.14,37.63,2.98,23.28,22.75,1,1,0,1,0,1
96.44,96.46,0.0,35.01,105.72,4.06,28.61,34.88,2.98,21.65,27.71,1,1,0,1,1,1
95.17,95.19,0.0,0.0,100.18,3.9,30.39,35.57,2.98,31.48,29.49,1,1,0,0,1,1
94.73,94.75,0.0,0.0,98.37,3.95,30.77,35.8,2.98,28.72,29.87,1,1,0,0,1,1
95.37,95.39,0.0,0.0,94.49,3.95,31.01,35.46,2.98,28.55,30.11,1,1,0,0,1,1
94.77,94.79,0.0,0.0,93.51,3.9,31.4,35.78,2.98,28.7,30.5,1,1,0,0,1,1
96.04,96.06,0.0,36.28,69.36,3.89,33.62,35.1,2.98,21.39,32.72,1,1,0,1,1,1
96.34,96.36,0.0,35.97,82.64,3.71,31.79,34.94,2.98,21.06,30.89,1,1,0,1,1,1
96.19,96.21,0.0,35.94,81.07,3.52,32.01,35.02,2.98,21.13,31.11,1,1,0,1,1,1
96.62,96.64,0.0,35.53,77.5,3.36,32.17,34.79,2.98,20.94,31.27,1,1,0,1,1,1
95.1,95.11,0.0,35.49,80.31,3.19,32.57,35.6,2.98,21.64,31.67,1,1,0,1,1,1
95.61,95.63,0.0,35.15,76.68,3.15,32.74,35.33,2.98,21.67,31.84,1,1,0,1,1,1
95.08,95.09,0.0,34.8,76.37,3.08,33.01,35.62,2.98,22.08,32.11,1,1,0,1,1,1
93.45,93.47,0.0,0.0,82.44,3.2,33.62,36.48,2.98,31.78,32.72,1,1,0,0,1,1
86.3,86.32,0.0,0.0,0.0,3.74,44.76,40.22,2.98,35.67,31.46,1,1,0,0,0,1
83.97,83.98,0.0,0.0,0.0,4.33,46.32,41.42,2.98,37.03,31.46,1,1,0,0,0,1
110.98,0.0,0.0,0.0,0.0,4.66,39.36,26.9,2.99,29.76,25.13,1,0,0,0,0,1
111.38,0.0,0.0,36.36,0.0,4.76,39.11,26.68,2.99,23.04,28.16,1,0,0,1,0,1
111.35,0.0,0.0,36.78,0.0,4.72,39.1,26.7,2.99,23.01,29.34,1,0,0,1,0,1
112.3,0.0,0.0,38.12,0.0,4.68,38.81,26.16,2.99,28.58,27.55,1,0,0,1,0,1
112.73,0.0,0.0,38.12,0.0,4.66,38.64,25.91,2.99,28.42,27.04,1,0,0,1,0,1
111.91,0.0,0.0,35.69,0.0,4.51,38.8,26.38,2.99,22.6,26.56,1,0,0,1,0,1
112.89,0.0,0.0,35.78,0.0,4.45,38.36,25.82,2.99,22.15,21.74,1,0,0,1,0,1
118.88,0.0,0.0,34.01,91.68,4.25,27.87,22.4,2.99,19.55,26.97,1,0,0,1,1,1
117.34,0.0,0.0,0.0,89.38,3.83,29.23,23.28,2.99,26.82,28.33,1,0,0,0,1,1
117.2,0.0,0.0,0.0,87.57,3.45,29.49,23.36,2.99,26.81,28.59,1,0,0,0,1,1
117.43,0.0,0.0,0.0,84.43,3.11,29.71,23.23,2.99,26.66,28.81,1,0,0,0,1,1
116.95,0.0,0.0,37.28,83.45,2.81,30.01,23.51,2.99,26.01,29.11,1,0,0,1,1,1
118.11,0.0,0.0,37.1,83.61,2.54,29.3,22.84,2.99,25.35,28.4,1,0,0,1,1,1
120.34,0.0,0.0,34.74,68.83,2.15,29.49,21.55,2.99,18.19,28.59,1,0,0,1,1,1
119.74,0.0,0.0,34.7,52.99,1.72,31.32,21.9,2.99,18.5,30.42,1,0,0,1,1,1
121.41,0.0,0.0,34.36,60.31,1.32,29.63,20.93,2.99,17.52,28.73,1,0,0,1,1,1
98.76,98.78,0.0,34.67,76.77,0.91,30.26,33.64,2.97,19.1,29.36,1,1,0,1,1,1
98.14,98.16,0.0,34.79,76.66,0.81,30.55,33.97,2.97,19.23,29.65,1,1,0,1,1,1
98.86,98.88,0.0,34.18,79.79,0.75,29.77,33.58,2.97,19.07,28.87,1,1,0,1,1,1
97.67,97.69,0.0,0.0,85.05,0.74,29.86,34.22,2.97,26.13,28.96,1,1,0,0,1,1
97.26,97.28,0.0,0.0,80.49,0.86,30.71,34.44,2.97,26.38,29.81,1,1,0,0,1,1
96.56,96.58,0.0,0.0,80.97,1.0,31.1,34.82,2.98,26.8,30.2,1,1,0,0,1,1
93.74,93.76,0.0,0.0,72.17,1.25,34.25,36.33,2.98,30.76,33.35,1,1,0,0,1,1
95.05,95.07,0.0,0.0,64.8,1.64,34.32,35.63,2.98,30.44,33.42,1,1,0,0,1,1
96.86,96.88,0.0,34.93,69.5,1.77,32.4,34.66,2.98,20.39,31.5,1,1,0,1,1,1
96.56,96.58,0.0,34.25,69.07,1.75,32.57,34.82,2.98,20.45,31.67,1,1,0,1,1,1
97.6,97.62,0.0,34.63,71.31,1.76,31.83,34.26,2.97,20.31,30.93,1,1,0,1,1,1
97.58,97.6,0.0,35.05,67.22,1.67,32.26,34.27,2.97,19.98,31.36,1,1,0,1,1,1
97.14,97.16,0.0,34.59,66.43,1.61,32.54,34.51,2.97,20.19,31.64,1,1,0,1,1,1
97.17,97.19,0.0,0.0,66.22,1.71,32.71,34.49,2.97,26.76,31.81,1,1,0,0,1,1
96.21,96.23,0.0,0.0,69.16,1.79,32.94,35.01,2.98,27.22,32.04,1,1,0,0,1,1
88.14,88.16,0.0,0.0,0.0,2.18,43.32,39.27,2.98,34.16,29.65,1,1,0,0,0,1
93.12,93.14,0.0,36.03,0.0,2.61,39.66,36.66,2.98,21.57,29.11,1,1,0,1,0,1
93.27,93.29,0.0,35.48,0.0,2.83,39.64,36.57,2.98,21.67,24.23,1,1,0,1,0,1
91.87,91.88,0.0,35.95,0.0,3.03,40.49,37.32,2.98,22.36,23.36,1,1,0,1,0,1
92.53,92.55,0.0,35.4,0.0,3.29,40.2,36.96,2.98,22.54,26.7,1,1,0,1,0,1
91.7,91.72,0.0,35.82,0.0,3.5,40.72,37.4,2.98,22.84,26.21,1,1,0,1,0,1
92.67,92.69,0.0,35.65,0.0,3.74,40.25,36.89,2.98,22.45,27.43,1,1,0,1,0,1
90.24,90.26,0.0,0.0,0.0,4.06,42.06,38.17,2.98,30.75,25.6,1,1,0,0,0,1
96.37,96.39,0.0,0.0,110.64,4.29,28.2,34.92,2.98,28.23,27.3,1,1,0,0,1,1
96.94,96.96,0.0,35.83,106.17,4.09,28.23,34.62,2.98,20.85,27.33,1,1,0,1,1,1
97.16,97.18,0.0,35.85,104.4,3.79,28.29,34.5,2.97,20.88,27.39,1,1,0,1,1,1
96.76,96.78,0.0,35.47,104.94,3.51,28.38,34.71,2.98,21.13,27.48,1,1,0,1,1,1
95.48,95.5,0.0,35.55,106.01,3.28,28.91,35.4,2.98,21.84,28.01,1,1,0,1,1,1
95.74,95.75,0.0,36.75,104.27,3.22,29.13,35.26,2.98,27.46,28.23,1,1,0,1,1,1
95.19,95.21,0.0,36.28,104.11,3.19,29.4,35.55,2.98,27.67,28.5,1,1,0,1,1,1
94.63,94.64,0.0,0.0,96.03,3.2,30.89,35.86,2.98,28.46,29.99,1,1,0,0,1,1
94.09,94.11,0.0,0.0,76.47,3.36,33.79,36.14,2.98,29.13,32.89,1,1,0,0,1,1
94.22,94.24,0.0,0.0,91.76,3.59,32.02,36.07,2.98,31.64,31.12,1,1,0,0,1,1
94.86,94.88,0.0,0.0,87.65,3.79,32.26,35.73,2.98,31.55,31.36,1,1,0,0,1,0
94.58,94.6,0.0,0.0,85.99,3.89,32.49,35.88,2.98,28.68,31.59,1,1,0,0,1,0
95.52,95.54,0.0,35.98,80.49,3.94,32.59,35.38,2.98,21.48,31.69,1,1,0,1,1,0
95.29,95.3,0.0,35.87,79.31,3.79,32.81,35.5,2.98,21.57,31.91,1,1,0,1,1,0
95.77,95.79,0.0,35.59,75.65,3.67,32.96,35.24,2.98,21.41,32.06,1,1,0,1,1,0
96.84,96.86,0.0,35.59,75.1,3.53,32.38,34.67,2.98,20.88,31.48,1,1,0,1,1,0
95.5,95.51,0.0,35.52,70.3,3.34,33.61,35.39,2.98,21.49,32.71,1,1,0,1,1,0
96.17,96.19,0.0,35.31,75.48,3.25,32.63,35.03,2.98,21.24,31.73,1,1,0,1,1,0
96.14,96.16,0.0,35.08,75.92,3.12,32.54,35.04,2.98,21.34,31.64,1,1,0,1,1,0
95.41,95.43,0.0,0.0,74.7,3.11,33.17,35.44,2.98,28.19,32.27,1,1,0,0,1,0
90.28,90.29,0.0,0.0,0.0,3.34,41.88,38.15,2.98,30.57,29.71,1,1,0,0,0,0
89.24,89.26,0.0,0.0,0.0,3.79,42.96,38.69,2.98,34.33,29.18,1,1,0,0,0,0
91.96,91.98,0.0,0.0,0.0,4.26,41.1,37.27,2.98,29.88,28.62,1,1,0,0,0,0
92.4,92.42,0.0,36.73,0.0,4.39,40.59,37.04,2.98,22.39,28.12,1,1,0,1,0,0
112.54,0.0,0.0,36.57,0.0,4.53,38.53,26.02,2.99,22.08,27.6,1,0,0,1,0,0
113.41,0.0,0.0,36.48,0.0,4.41,38.1,25.53,2.99,21.68,24.08,1,0,0,1,0,0
113.99,0.0,0.0,36.02,0.0,4.24,37.78,25.2,2.99,21.45,23.35,1,0,0,1,0,0
113.43,0.0,0.0,35.42,0.0,4.05,38.0,25.52,2.99,22.05,22.78,1,0,0,1,0,0
118.5,0.0,0.0,34.12,91.4,3.65,28.07,22.61,2.99,19.76,27.17,1,0,0,1,1,0
118.13,0.0,0.0,34.09,91.82,3.19,28.19,22.83,2.99,20.23,27.29,1,0,0,1,1,0
115.85,0.0,0.0,0.0,73.15,2.85,31.84,24.14,2.99,27.61,30.94,1,0,0,0,1,0
115.14,0.0,0.0,0.0,71.28,2.72,32.42,24.55,2.99,30.22,31.52,1,0,0,0,1,0
115.57,0.0,0.0,0.0,85.14,2.73,30.69,24.3,2.99,30.09,29.79,1,0,0,0,1,0
115.81,0.0,0.0,0.0,81.52,2.65,30.85,24.16,2.99,27.3,29.95,1,0,0,0,1,0
116.96,0.0,0.0,0.0,75.63,2.49,30.9,23.5,2.99,26.69,30.0,1,0,0,0,1,0
118.36,0.0,0.0,35.74,49.83,2.3,32.46,22.69,2.99,19.38,31.56,1,0,0,1,1,0
119.6,0.0,0.0,34.99,56.07,1.98,31.17,21.98,2.99,18.75,30.27,1,0,0,1,1,0
119.66,0.0,0.0,34.67,54.64,1.61,31.2,21.94,2.99,18.77,30.3,1,0,0,1,1,0
120.46,0.0,0.0,34.24,57.66,1.27,30.42,21.48,2.99,18.44,29.52,1,0,0,1,1,0
98.44,98.46,0.0,34.39,74.3,0.98,30.75,33.81,2.97,19.74,29.85,1,1,0,1,1,0
98.41,98.43,0.0,36.52,75.5,0.98,30.71,33.82,2.97,25.17,29.81,1,1,0,1,1,0
98.25,98.27,0.0,34.48,76.09,0.96,30.62,33.91,2.97,19.38,29.72,1,1,0,1,1,0
97.67,97.69,0.0,0.0,75.25,1.02,31.16,34.22,2.97,26.03,30.26,1,1,0,0,1,0
96.79,96.81,0.0,0.0,60.24,1.11,33.36,34.7,2.98,26.43,32.46,1,1,0,0,1,0
97.36,97.38,0.0,0.0,71.61,1.28,31.85,34.39,2.97,26.46,30.95,1,1,0,0,1,0
97.66,97.68,0.0,35.36,68.28,1.3,31.95,34.23,2.97,19.89,31.05,1,1,0,1,1,0
96.8,96.81,0.0,35.34,69.78,1.26,32.18,34.69,2.98,19.95,31.28,1,1,0,1,1,0
97.3,97.31,0.0,35.14,66.83,1.3,32.28,34.43,2.97,19.83,31.38,1,1,0,1,1,0
98.75,98.77,0.0,34.89,64.72,1.29,31.79,33.64,2.97,19.25,30.89,1,1,0,1,1,0
98.44,98.46,0.0,35.1,67.0,1.16,31.65,33.81,2.97,19.32,30.75,1,1,0,1,1,0
98.57,98.59,0.0,34.62,67.63,1.06,31.48,33.74,2.97,19.31,30.58,1,1,0,1,1,0
98.09,98.11,0.0,34.0,70.22,0.97,31.39,34.0,2.97,19.77,30.49,1,1,0,1,1,0
96.63,96.65,0.0,0.0,77.66,0.99,31.46,34.78,2.98,26.73,30.56,1,1,0,0,1,0
94.97,94.99,0.0,0.0,63.89,1.2,34.37,35.67,2.98,30.27,33.47,1,1,0,0,1,0
94.26,94.27,0.0,0.0,63.16,1.54,34.98,36.05,2.98,30.74,34.08,1,1,0,0,1,0
94.96,94.98,0.0,0.0,73.94,1.83,33.13,35.67,2.98,27.66,32.23,1,1,0,0,1,0
