DATETIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
2016-01-08 10:00:00,4.41,4.87,3.47,2.74,1.45,5.33,2.32,91.87,1.0,91.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.95,1.0,36.54,1.0,0.0,0.0,31.62,1.0,0.0,0.0,0.0,0.0,2.98,37.31,27.89,69.97,27.85,85.28,22.7,81.96,22.58,67.17,40.88,29.26,-999.0
2016-01-08 11:00:00,4.42,4.34,3.05,2.98,1.84,5.47,2.3,113.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.73,1.0,35.9,1.0,0.0,0.0,31.38,1.0,0.0,0.0,0.0,0.0,2.99,25.72,27.45,71.3,27.41,87.18,22.01,82.41,21.89,67.32,38.27,28.81,-999.0
2016-01-08 12:00:00,4.28,3.53,3.4,3.54,2.31,5.5,2.49,113.96,1.0,0.0,0.0,0.0,0.0,32.45,1.0,0.0,0.0,0.0,0.0,48.5,1.0,35.71,1.0,0.0,0.0,30.48,1.0,0.0,0.0,0.0,0.0,2.99,25.22,23.58,89.88,23.64,83.83,21.8,82.53,21.69,70.11,37.82,25.32,-999.0
2016-01-08 13:00:00,4.09,2.67,3.93,3.44,2.75,5.5,2.92,113.41,1.0,0.0,0.0,0.0,0.0,32.79,1.0,0.0,0.0,0.0,0.0,47.59,1.0,35.73,1.0,0.0,0.0,29.67,1.0,0.0,0.0,0.0,0.0,2.99,25.53,22.79,88.54,22.84,84.71,22.23,82.91,22.12,73.17,38.02,24.52,-999.0
2016-01-08 14:00:00,3.97,1.82,4.4,3.68,3.18,5.5,3.81,113.8,1.0,0.0,0.0,0.0,0.0,33.44,1.0,0.0,0.0,0.0,0.0,47.71,1.0,35.54,1.0,0.0,0.0,30.2,1.0,0.0,0.0,0.0,0.0,2.99,25.31,21.85,86.56,21.91,83.57,21.92,82.96,21.81,71.15,37.8,23.59,-999.0
2016-01-08 15:00:00,3.82,0.96,4.78,3.59,3.59,5.5,4.22,113.22,1.0,0.0,0.0,0.0,0.0,32.59,1.0,0.0,0.0,0.0,0.0,46.99,1.0,35.38,1.0,0.0,0.0,30.04,1.0,0.0,0.0,0.0,0.0,2.99,25.64,21.17,87.24,21.23,84.16,22.23,83.54,22.12,71.99,38.01,22.89,-999.0
2016-01-08 16:00:00,3.57,0.54,5.2,3.77,4.02,5.5,4.69,117.51,1.0,0.0,0.0,0.0,0.0,33.71,1.0,0.0,0.0,0.0,0.0,48.59,1.0,0.0,0.0,0.0,0.0,31.11,1.0,0.0,0.0,96.38,1.0,2.99,23.19,25.15,89.42,25.21,85.25,26.69,63.64,26.58,72.94,28.16,27.26,-999.0
2016-01-08 17:00:00,3.31,0.94,5.01,3.97,3.37,5.21,3.47,115.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.96,1.0,2.99,24.23,27.18,71.7,27.14,86.11,30.25,62.86,30.25,57.08,29.78,28.88,-999.0
2016-01-08 18:00:00,3.07,1.38,4.6,4.22,2.69,5.1,2.64,117.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.41,1.0,0.0,0.0,0.0,0.0,32.43,1.0,0.0,0.0,85.23,1.0,2.99,23.36,27.17,72.97,27.13,85.61,26.58,62.36,26.46,68.2,29.73,28.83,-999.0
2016-01-08 19:00:00,2.77,1.75,4.25,4.3,2.05,5.31,2.8,118.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.32,1.0,0.0,0.0,0.0,0.0,32.38,1.0,0.0,0.0,77.54,1.0,2.99,22.44,27.19,71.78,27.15,85.8,25.68,61.95,25.55,67.46,29.7,28.8,-999.0
2016-01-08 20:00:00,2.41,2.03,3.86,4.41,1.44,5.44,2.67,120.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.52,1.0,34.92,1.0,0.0,0.0,30.5,1.0,0.0,0.0,67.17,1.0,2.99,21.41,27.11,69.93,27.07,85.34,18.01,80.13,17.9,66.27,29.57,28.67,-999.0
2016-01-08 21:00:00,1.95,2.21,3.42,4.36,1.78,5.46,2.32,120.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.05,1.0,35.05,1.0,0.0,0.0,30.42,1.0,0.0,0.0,63.88,1.0,2.99,21.22,27.22,68.74,27.18,86.34,17.75,79.64,17.64,66.27,29.65,28.75,-999.0
2016-01-08 22:00:00,1.52,2.43,3.04,4.17,2.0,5.5,2.1,121.02,1.0,0.0,0.0,0.0,0.0,36.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.97,1.0,0.0,0.0,30.33,1.0,0.0,0.0,58.52,1.0,2.99,21.16,27.61,87.29,27.72,58.06,17.68,79.7,17.57,66.49,30.06,29.16,-999.0
2016-01-08 23:00:00,1.11,2.53,3.48,2.63,2.2,5.5,1.91,121.21,1.0,0.0,0.0,0.0,0.0,35.9,1.0,0.0,0.0,0.0,0.0,49.74,1.0,34.75,1.0,0.0,0.0,29.88,1.0,0.0,0.0,63.57,1.0,2.99,21.05,26.52,87.06,26.59,84.45,17.69,80.09,17.59,67.96,29.39,28.49,-999.0
2016-01-09 00:00:00,1.03,4.53,3.68,4.07,3.54,5.37,1.81,98.1,1.0,98.12,1.0,0.0,0.0,35.17,1.0,0.0,0.0,0.0,0.0,49.43,1.0,34.29,1.0,0.0,0.0,30.85,1.0,0.0,0.0,68.58,1.0,2.97,33.99,28.72,90.53,28.79,87.22,19.45,82.64,19.34,66.54,31.6,30.7,-999.0
2016-01-09 01:00:00,0.98,4.37,4.2,4.47,3.99,5.47,1.8,97.19,1.0,97.21,1.0,0.0,0.0,35.7,1.0,0.0,0.0,0.0,0.0,49.42,1.0,33.92,1.0,0.0,0.0,30.2,1.0,0.0,0.0,72.75,1.0,2.97,34.48,28.63,89.52,28.7,87.15,20.03,83.83,19.92,69.29,31.54,30.64,-999.0
2016-01-09 02:00:00,1.16,4.61,4.69,3.53,3.48,5.5,2.97,95.95,1.0,95.97,1.0,0.0,0.0,35.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.49,1.0,0.0,0.0,69.94,1.0,2.98,35.15,30.33,92.23,30.44,65.24,27.08,63.58,26.98,75.4,32.82,31.92,-999.0
2016-01-09 03:00:00,1.36,4.72,5.22,3.25,2.91,5.5,4.09,96.02,1.0,96.04,1.0,0.0,0.0,33.73,1.0,0.0,0.0,0.0,0.0,48.9,1.0,0.0,0.0,0.0,0.0,30.19,1.0,0.0,0.0,76.97,1.0,2.98,35.11,29.12,93.35,29.18,88.64,27.18,63.55,27.08,76.48,32.02,31.12,-999.0
2016-01-09 04:00:00,1.58,4.95,5.08,3.99,2.44,5.44,4.63,94.55,1.0,94.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.82,1.0,2.98,35.9,30.49,76.39,30.45,90.78,30.53,63.46,30.53,61.78,33.0,32.1,-999.0
2016-01-09 05:00:00,1.92,5.36,4.88,4.49,2.07,5.26,3.93,93.45,1.0,93.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.08,1.0,2.98,36.48,33.22,76.81,33.22,69.01,31.26,62.72,31.26,61.46,35.48,34.58,-999.0
2016-01-09 06:00:00,2.48,5.53,4.73,3.63,1.6,5.08,3.4,87.63,1.0,87.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,39.53,30.53,74.85,30.53,65.29,34.52,62.3,34.52,59.32,43.69,31.72,-999.0
2016-01-09 07:00:00,2.93,5.4,4.46,2.8,2.07,4.93,2.67,91.86,1.0,91.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.96,1.0,35.39,1.0,0.0,0.0,31.14,1.0,0.0,0.0,0.0,0.0,2.98,37.32,28.42,74.46,28.38,85.79,22.5,83.81,22.38,68.63,40.47,29.79,-999.0
2016-01-09 08:00:00,3.2,4.87,4.18,3.12,2.7,5.19,3.08,92.03,1.0,92.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.13,1.0,35.4,1.0,0.0,0.0,31.62,1.0,0.0,0.0,0.0,0.0,2.98,37.23,27.88,72.79,27.84,84.93,22.39,83.67,22.27,66.88,40.44,29.25,-999.0
2016-01-09 09:00:00,3.44,4.34,3.84,3.21,3.25,5.28,2.76,92.83,1.0,92.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.27,1.0,35.83,1.0,0.0,0.0,31.39,1.0,0.0,0.0,0.0,0.0,2.98,36.81,27.33,70.61,27.29,84.09,22.05,82.57,21.93,67.32,40.06,28.71,-999.0
2016-01-09 10:00:00,3.62,3.81,3.43,3.03,3.58,5.43,2.72,92.3,1.0,92.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.27,1.0,35.36,1.0,0.0,0.0,31.35,1.0,0.0,0.0,0.0,0.0,2.98,37.09,26.88,69.67,26.84,85.58,22.52,83.88,22.4,67.91,40.41,28.25,-999.0
2016-01-09 11:00:00,3.82,3.29,3.0,3.34,4.05,5.5,3.01,90.6,1.0,90.62,1.0,0.0,0.0,34.23,1.0,0.0,0.0,0.0,0.0,47.93,1.0,0.0,0.0,0.0,0.0,32.53,1.0,0.0,0.0,0.0,0.0,2.98,37.98,23.21,87.17,23.28,84.53,30.49,62.91,30.37,71.76,41.79,24.97,-999.0
2016-01-09 12:00:00,4.18,2.42,3.45,3.53,3.28,5.5,3.46,90.59,1.0,90.6,1.0,0.0,0.0,32.87,1.0,0.0,0.0,0.0,0.0,48.19,1.0,0.0,0.0,0.0,0.0,32.06,1.0,0.0,0.0,0.0,0.0,2.98,37.99,22.46,88.09,22.52,83.29,30.73,61.97,30.61,73.68,41.89,24.2,-999.0
2016-01-09 13:00:00,4.52,1.56,3.92,3.32,2.49,5.5,4.16,112.03,1.0,0.0,0.0,0.0,0.0,33.29,1.0,0.0,0.0,0.0,0.0,46.61,1.0,0.0,0.0,0.0,0.0,32.36,1.0,0.0,0.0,0.0,0.0,2.99,26.31,21.73,86.69,21.79,85.4,29.38,61.03,29.26,71.26,38.86,23.46,-999.0
2016-01-09 14:00:00,4.57,0.72,4.33,3.77,1.68,5.5,4.35,111.79,1.0,0.0,0.0,0.0,0.0,32.77,1.0,0.0,0.0,0.0,0.0,46.36,1.0,0.0,0.0,0.0,0.0,32.07,1.0,0.0,0.0,0.0,0.0,2.99,26.45,20.97,86.75,21.03,85.07,29.53,60.06,29.41,72.42,38.98,22.69,-999.0
2016-01-09 15:00:00,4.21,0.59,4.76,4.16,1.71,5.5,4.57,118.67,1.0,0.0,0.0,0.0,0.0,34.45,1.0,0.0,0.0,0.0,0.0,48.43,1.0,35.23,1.0,0.0,0.0,30.02,1.0,0.0,0.0,91.08,1.0,2.99,22.52,25.08,88.11,25.15,85.47,19.44,81.01,19.34,69.27,28.07,27.17,-999.0
2016-01-09 16:00:00,3.71,0.67,5.18,4.33,2.09,5.5,4.48,118.92,1.0,0.0,0.0,0.0,0.0,34.02,1.0,0.0,0.0,0.0,0.0,48.03,1.0,34.82,1.0,0.0,0.0,29.77,1.0,0.0,0.0,89.15,1.0,2.99,22.37,25.15,88.91,25.22,86.28,19.4,81.68,19.29,70.03,28.12,27.22,-999.0
2016-01-09 17:00:00,3.25,0.98,5.21,4.25,2.55,5.5,4.6,117.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.97,1.0,0.0,0.0,29.89,1.0,0.0,0.0,67.97,1.0,2.99,23.26,29.16,73.89,29.16,63.72,20.21,82.24,20.11,70.45,31.44,30.54,-999.0
2016-01-09 18:00:00,2.89,1.68,4.87,2.77,3.0,5.5,4.77,119.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.44,1.0,34.61,1.0,0.0,0.0,29.45,1.0,0.0,0.0,75.34,1.0,2.99,22.2,27.03,73.1,26.99,85.43,19.24,81.88,19.14,70.87,29.53,28.63,-999.0
2016-01-09 19:00:00,2.55,1.99,4.51,3.09,3.46,5.15,3.17,119.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.03,1.0,36.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.09,1.0,2.99,22.01,27.24,71.08,27.2,84.47,24.67,84.13,24.67,56.67,29.73,28.83,-999.0
2016-01-09 20:00:00,2.11,2.18,4.09,3.09,3.84,5.12,2.61,120.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2,1.0,34.32,1.0,0.0,0.0,30.31,1.0,0.0,0.0,65.12,1.0,2.99,21.3,27.19,70.93,27.15,84.09,18.06,81.19,17.95,66.93,29.64,28.74,-999.0
2016-01-09 21:00:00,1.7,2.35,3.68,2.95,3.75,5.28,2.65,120.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8,1.0,0.0,0.0,0.0,0.0,32.16,1.0,0.0,0.0,67.69,1.0,2.99,21.68,27.43,69.43,27.39,85.13,24.81,61.67,24.68,67.4,29.89,28.99,-999.0
2016-01-09 22:00:00,1.36,2.53,3.23,3.16,2.86,5.42,2.56,120.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2,1.0,0.0,0.0,0.0,0.0,32.14,1.0,0.0,0.0,64.6,1.0,2.99,21.48,27.52,70.21,27.48,84.42,24.57,62.07,24.44,67.23,29.97,29.07,-999.0
2016-01-09 23:00:00,1.03,2.57,3.08,3.1,2.14,5.5,2.46,120.36,1.0,0.0,0.0,0.0,0.0,36.16,1.0,0.0,0.0,0.0,0.0,49.74,1.0,0.0,0.0,0.0,0.0,31.9,1.0,0.0,0.0,68.24,1.0,2.99,21.54,26.69,86.76,26.76,84.6,24.59,61.22,24.47,68.1,29.58,28.68,-999.0
2016-01-10 00:00:00,3.54,1.41,4.25,2.68,3.8,5.5,3.53,92.16,1.0,92.18,1.0,0.0,0.0,31.8,1.0,0.0,0.0,0.0,0.0,48.04,1.0,35.49,1.0,0.0,0.0,30.6,1.0,0.0,0.0,0.0,0.0,2.98,37.16,21.6,88.89,21.65,82.7,22.71,83.84,22.6,70.63,40.47,23.32,-999.0
2016-01-10 01:00:00,3.83,0.57,4.72,2.57,3.67,5.5,3.95,88.69,1.0,88.71,1.0,0.0,0.0,31.05,1.0,0.0,0.0,0.0,0.0,46.81,1.0,0.0,0.0,0.0,0.0,31.59,1.0,0.0,0.0,0.0,0.0,2.98,38.98,20.97,89.4,21.02,84.28,31.57,64.24,31.45,76.16,42.94,22.67,-999.0
2016-01-10 02:00:00,3.86,0.79,5.24,3.02,3.19,5.47,4.64,94.66,1.0,94.68,1.0,0.0,0.0,32.61,1.0,0.0,0.0,0.0,0.0,48.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.92,1.0,2.98,35.84,25.95,91.99,26.0,86.77,31.54,63.76,31.54,59.74,29.05,28.15,-999.0
2016-01-10 03:00:00,4.0,1.3,5.18,3.61,2.71,5.17,3.3,93.8,1.0,93.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.48,1.0,2.98,36.29,28.2,75.44,28.16,88.42,31.95,63.24,31.95,59.2,30.87,29.97,-999.0
2016-01-10 04:00:00,4.14,1.86,4.92,4.3,2.22,5.03,2.64,93.81,1.0,93.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.85,1.0,0.0,0.0,0.0,0.0,32.07,1.0,0.0,0.0,99.14,1.0,2.98,36.29,28.58,76.49,28.54,89.94,29.26,62.89,29.14,72.15,31.21,30.31,-999.0
2016-01-10 05:00:00,4.27,2.64,4.74,3.9,1.76,5.44,3.69,93.17,1.0,93.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.26,1.0,0.0,0.0,79.34,1.0,2.98,36.63,31.88,75.1,31.88,67.01,29.56,61.68,29.44,71.77,34.22,33.32,-999.0
2016-01-10 06:00:00,4.34,3.46,4.48,2.83,1.74,5.5,4.72,94.41,1.0,94.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.59,1.0,35.9,1.0,0.0,0.0,29.5,1.0,0.0,0.0,90.16,1.0,2.98,35.97,29.5,74.48,29.46,87.59,22.73,83.13,22.62,74.21,32.09,31.19,-999.0
2016-01-10 07:00:00,4.34,3.89,4.21,3.44,2.35,5.22,3.52,93.76,1.0,93.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.78,1.0,37.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.15,1.0,2.98,36.32,29.92,73.1,29.88,87.64,28.66,86.17,28.66,58.15,32.51,31.61,-999.0
2016-01-10 08:00:00,4.35,4.31,3.88,3.96,2.98,5.07,2.65,94.69,1.0,94.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.41,1.0,35.41,1.0,0.0,0.0,31.43,1.0,0.0,0.0,85.09,1.0,2.98,35.82,30.04,71.62,30.0,86.53,22.21,83.48,22.09,67.35,32.6,31.7,-999.0
2016-01-10 09:00:00,4.22,4.67,3.5,4.17,3.48,5.23,2.66,95.39,1.0,95.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.4,1.0,35.69,1.0,0.0,0.0,31.02,1.0,0.0,0.0,80.71,1.0,2.98,35.45,30.2,72.53,30.15,86.71,21.82,82.59,21.71,68.36,32.73,31.83,-999.0
2016-01-10 10:00:00,4.06,4.98,3.18,4.38,3.79,5.47,3.0,95.61,1.0,95.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.69,1.0,35.36,1.0,0.0,0.0,31.27,1.0,0.0,0.0,77.94,1.0,2.98,35.33,30.38,69.88,30.34,86.32,21.65,83.0,21.54,67.33,32.9,32.0,-999.0
2016-01-10 11:00:00,3.92,5.1,3.21,4.42,3.87,5.5,3.04,94.95,1.0,94.97,1.0,0.0,0.0,36.6,1.0,0.0,0.0,0.0,0.0,50.25,1.0,0.0,0.0,0.0,0.0,31.91,1.0,0.0,0.0,84.88,1.0,2.98,35.68,29.46,88.75,29.54,86.39,28.77,63.25,28.65,72.24,32.47,31.57,-999.0
2016-01-10 12:00:00,3.95,5.19,3.69,4.1,3.18,5.5,3.61,94.5,1.0,94.52,1.0,0.0,0.0,37.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.54,1.0,0.0,0.0,76.83,1.0,2.98,35.92,31.14,89.47,31.26,60.98,28.83,62.31,28.71,70.05,33.69,32.79,-999.0
2016-01-10 13:00:00,4.0,5.44,4.17,3.0,2.45,5.5,3.65,94.92,1.0,94.94,1.0,0.0,0.0,35.96,1.0,0.0,0.0,0.0,0.0,50.85,1.0,0.0,0.0,0.0,0.0,31.22,1.0,0.0,0.0,82.77,1.0,2.98,35.7,29.8,90.22,29.87,85.52,28.93,61.26,28.82,74.79,32.78,31.88,-999.0
2016-01-10 14:00:00,4.02,5.4,4.67,3.16,1.67,5.5,4.54,94.54,1.0,94.56,1.0,0.0,0.0,35.44,1.0,0.0,0.0,0.0,0.0,49.85,1.0,0.0,0.0,0.0,0.0,31.25,1.0,0.0,0.0,84.36,1.0,2.98,35.9,29.79,91.13,29.86,87.51,29.05,61.49,28.94,74.8,32.77,31.87,-999.0
2016-01-10 15:00:00,4.02,5.39,5.18,3.69,1.92,5.33,4.11,94.86,1.0,94.88,1.0,0.0,0.0,35.21,1.0,0.0,0.0,0.0,0.0,50.36,1.0,37.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.24,1.0,2.98,35.73,29.77,91.51,29.84,86.48,28.05,84.96,28.05,58.58,32.74,31.84,-999.0
2016-01-10 16:00:00,4.14,5.31,5.04,3.95,2.48,4.99,2.61,91.19,1.0,91.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.56,1.0,38.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,37.67,28.35,73.18,28.31,86.51,29.48,85.46,29.48,55.0,41.46,29.73,-999.0
2016-01-10 17:00:00,4.32,4.78,4.68,4.23,2.91,5.13,2.53,91.56,1.0,91.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.34,1.0,35.91,1.0,0.0,0.0,31.48,1.0,0.0,0.0,0.0,0.0,2.98,37.48,27.84,71.73,27.8,86.42,23.01,83.39,22.89,67.95,41.02,29.22,-999.0
2016-01-10 18:00:00,4.51,4.26,4.27,4.47,3.36,5.34,2.75,112.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8,1.0,35.21,1.0,0.0,0.0,31.21,1.0,0.0,0.0,0.0,0.0,2.99,26.08,27.36,72.38,27.32,86.96,22.56,84.17,22.44,68.44,38.58,28.73,-999.0
2016-01-10 19:00:00,4.41,4.22,3.91,3.3,3.91,5.5,3.14,113.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.36,1.0,0.0,0.0,30.69,1.0,0.0,0.0,0.0,0.0,2.99,25.6,29.22,71.21,29.22,61.26,22.21,83.57,22.1,69.86,38.17,30.41,-999.0
2016-01-10 20:00:00,4.37,3.8,3.52,3.0,3.47,5.5,3.5,112.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.95,1.0,0.0,0.0,0.0,0.0,32.47,1.0,0.0,0.0,0.0,0.0,2.99,25.81,26.82,70.23,26.78,84.21,29.01,62.41,28.89,70.5,38.46,28.19,-999.0
2016-01-10 21:00:00,4.35,3.27,3.1,2.96,2.71,5.5,3.65,112.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.87,1.0,0.0,0.0,0.0,0.0,32.67,1.0,0.0,0.0,0.0,0.0,2.99,25.93,26.29,69.47,26.25,83.85,29.04,60.9,28.91,69.78,38.53,27.67,-999.0
2016-01-10 22:00:00,4.36,2.48,3.31,2.81,1.85,5.5,3.62,113.68,1.0,0.0,0.0,0.0,0.0,35.29,1.0,0.0,0.0,0.0,0.0,48.56,1.0,0.0,0.0,0.0,0.0,32.94,1.0,0.0,0.0,0.0,0.0,2.99,25.38,22.19,83.79,22.26,82.34,28.67,59.28,28.54,68.43,38.16,23.97,-999.0
