F_PU1,F_PU2,F_PU3,F_PU8,F_V2,L_T1,P_J14,P_J269,P_J280,P_J302,P_J422,S_PU1,S_PU2,S_PU3,S_PU8,S_V2,ATTACK_FLAG
95.13,95.15,0.0,35.55,0.0,2.03,38.37,35.59,2.98,20.59,29.72,1.0,1.0,0.0,1.0,0.0,0
95.04,95.06,0.0,35.45,0.0,2.18,38.47,35.63,2.98,20.72,29.19,1.0,1.0,0.0,1.0,0.0,0
95.08,95.1,0.0,35.47,0.0,2.32,38.49,35.61,2.98,20.64,25.61,1.0,1.0,0.0,1.0,0.0,0
93.95,93.96,0.0,35.67,0.0,2.45,39.15,36.22,2.98,21.21,24.73,1.0,1.0,0.0,1.0,0.0,0
93.28,93.3,0.0,35.14,0.0,2.64,39.59,36.57,2.98,21.86,24.09,1.0,1.0,0.0,1.0,0.0,0
89.71,89.73,0.0,0.0,0.0,2.91,42.11,38.45,2.98,30.58,23.33,1.0,1.0,0.0,0.0,0.0,0
89.39,89.41,0.0,0.0,0.0,3.35,42.42,38.61,2.98,31.08,22.72,1.0,1.0,0.0,0.0,0.0,0
94.76,94.78,0.0,0.0,100.81,3.4,30.21,35.78,2.98,28.75,29.31,1.0,1.0,0.0,0.0,1.0,0
94.1,94.12,0.0,0.0,100.79,3.59,30.82,36.14,2.98,31.63,29.92,1.0,1.0,0.0,0.0,1.0,0
93.43,93.45,0.0,0.0,81.64,3.82,33.88,36.49,2.98,32.12,32.98,1.0,1.0,0.0,0.0,1.0,0
93.75,93.77,0.0,36.06,75.59,3.94,34.08,36.32,2.98,22.45,33.18,1.0,1.0,0.0,1.0,1.0,0
94.73,94.75,0.0,35.4,88.5,3.9,31.98,35.8,2.98,22.1,31.08,1.0,1.0,0.0,1.0,1.0,0
95.66,95.68,0.0,35.68,83.64,3.81,32.08,35.3,2.98,21.7,31.18,1.0,1.0,0.0,1.0,1.0,0
95.67,95.68,0.0,35.52,64.23,3.66,34.31,35.3,2.98,21.53,33.41,1.0,1.0,0.0,1.0,1.0,0
95.97,95.99,0.0,35.6,76.64,3.55,32.7,35.14,2.98,21.55,31.8,1.0,1.0,0.0,1.0,1.0,0
95.59,95.61,0.0,35.07,76.0,3.42,32.93,35.34,2.98,21.69,32.03,1.0,1.0,0.0,1.0,1.0,0
95.13,95.15,0.0,0.0,82.46,3.38,32.47,35.59,2.98,28.39,31.57,1.0,1.0,0.0,0.0,1.0,0
93.47,93.49,0.0,0.0,91.15,3.56,32.55,36.47,2.98,31.9,31.65,1.0,1.0,0.0,0.0,1.0,0
95.37,95.39,0.0,0.0,82.48,3.72,32.48,35.46,2.98,28.4,31.58,1.0,1.0,0.0,0.0,1.0,0
95.51,95.53,0.0,36.05,81.26,3.72,32.43,35.38,2.98,21.51,31.53,1.0,1.0,0.0,1.0,1.0,0
95.71,95.73,0.0,35.82,80.55,3.59,32.37,35.28,2.98,21.62,31.47,1.0,1.0,0.0,1.0,1.0,0
95.58,95.6,0.0,35.78,74.94,3.48,33.08,35.34,2.98,21.69,32.18,1.0,1.0,0.0,1.0,1.0,0
92.14,92.16,0.0,35.99,0.0,3.38,40.44,37.17,2.98,22.67,29.96,1.0,1.0,0.0,1.0,0.0,0
91.02,91.04,0.0,38.4,0.0,3.7,41.45,37.76,2.98,29.35,31.71,1.0,1.0,0.0,1.0,0.0,0
92.85,92.87,0.0,35.72,0.0,3.99,40.23,36.8,2.98,22.3,29.47,1.0,1.0,0.0,1.0,0.0,0
92.46,92.48,0.0,36.08,0.0,4.14,40.48,37.0,2.98,22.39,28.94,1.0,1.0,0.0,1.0,0.0,0
91.88,91.89,0.0,0.0,0.0,4.33,41.16,37.31,2.98,29.94,25.41,1.0,1.0,0.0,0.0,0.0,0
112.7,0.0,0.0,0.0,0.0,4.48,38.59,25.93,2.99,29.01,24.68,1.0,0.0,0.0,0.0,0.0,0
111.76,0.0,0.0,0.0,0.0,4.46,38.95,26.47,2.99,29.3,21.89,1.0,0.0,0.0,0.0,0.0,0
111.03,0.0,0.0,0.0,0.0,4.54,39.31,26.88,2.99,29.83,21.32,1.0,0.0,0.0,0.0,0.0,0
117.21,0.0,0.0,35.08,96.48,4.37,28.24,23.36,2.99,20.56,27.34,1.0,0.0,0.0,1.0,1.0,0
115.7,0.0,0.0,34.79,87.47,3.92,30.26,24.23,2.99,21.69,29.36,1.0,0.0,0.0,1.0,1.0,0
114.28,0.0,0.0,36.3,74.63,3.63,32.63,25.03,2.99,27.76,31.73,1.0,0.0,0.0,1.0,1.0,0
115.41,0.0,0.0,35.48,86.49,3.46,30.62,24.39,2.99,27.24,29.72,1.0,0.0,0.0,1.0,1.0,0
114.61,0.0,0.0,0.0,87.14,3.34,31.09,24.85,2.99,30.7,30.19,1.0,0.0,0.0,0.0,1.0,0
115.69,0.0,0.0,0.0,80.72,3.16,31.12,24.23,2.99,27.39,30.22,1.0,0.0,0.0,0.0,1.0,0
115.57,0.0,0.0,0.0,79.01,2.95,31.33,24.3,2.99,27.45,30.43,1.0,0.0,0.0,0.0,1.0,0
117.27,0.0,0.0,0.0,53.37,2.82,33.05,23.32,2.99,26.65,32.15,1.0,0.0,0.0,0.0,1.0,0
119.1,0.0,0.0,35.41,57.42,2.5,31.41,22.27,2.99,19.14,30.51,1.0,0.0,0.0,1.0,1.0,0
119.49,0.0,0.0,34.82,60.88,2.11,30.79,22.04,2.99,18.81,29.89,1.0,0.0,0.0,1.0,1.0,0
120.4,0.0,0.0,33.86,58.39,1.73,30.47,21.52,2.99,18.67,29.57,1.0,0.0,0.0,1.0,1.0,0
120.87,0.0,0.0,33.93,58.26,1.34,30.15,21.24,2.99,18.28,29.25,1.0,0.0,0.0,1.0,1.0,0
97.96,97.98,0.0,36.39,78.91,0.99,30.53,34.07,2.97,25.35,29.63,1.0,1.0,0.0,1.0,1.0,0
98.4,98.42,0.0,36.63,77.91,1.04,30.46,33.83,2.97,25.2,29.56,1.0,1.0,0.0,1.0,1.0,0
98.15,98.17,0.0,0.0,74.02,1.08,31.07,33.97,2.97,25.88,30.17,1.0,1.0,0.0,0.0,1.0,0
97.53,97.55,0.0,0.0,74.52,1.13,31.36,34.3,2.97,26.16,30.46,1.0,1.0,0.0,0.0,1.0,0
97.83,97.85,0.0,0.0,72.13,1.23,31.52,34.14,2.97,26.21,30.62,1.0,1.0,0.0,0.0,1.0,0
97.91,97.93,0.0,35.56,52.8,1.29,33.42,34.09,2.97,19.71,32.52,1.0,1.0,0.0,1.0,1.0,0
97.88,97.9,0.0,35.2,65.66,1.24,32.11,34.11,2.97,19.66,31.21,1.0,1.0,0.0,1.0,1.0,0
98.18,98.2,0.0,35.59,63.28,1.19,32.19,33.95,2.97,19.27,31.29,1.0,1.0,0.0,1.0,1.0,0
98.6,98.62,0.0,35.05,66.75,1.1,31.57,33.72,2.97,19.19,30.67,1.0,1.0,0.0,1.0,1.0,0
98.73,98.75,0.0,35.22,67.26,1.0,31.41,33.65,2.97,19.11,30.51,1.0,1.0,0.0,1.0,1.0,0
98.04,98.06,0.0,34.81,70.55,0.9,31.35,34.03,2.97,19.51,30.45,1.0,1.0,0.0,1.0,1.0,0
97.57,97.59,0.0,34.52,72.75,0.86,31.3,34.28,2.97,19.84,30.4,1.0,1.0,0.0,1.0,1.0,0
97.48,97.5,0.0,33.91,73.87,0.87,31.22,34.33,2.97,20.16,30.32,1.0,1.0,0.0,1.0,1.0,0
94.64,94.66,0.0,0.0,82.32,1.05,32.39,35.85,2.98,30.21,31.49,1.0,1.0,0.0,0.0,1.0,0
94.79,94.81,0.0,0.0,80.29,1.4,32.63,35.77,2.98,30.33,31.73,1.0,1.0,0.0,0.0,1.0,0
94.58,94.6,0.0,0.0,60.25,1.72,34.84,35.88,2.98,27.77,33.94,1.0,1.0,0.0,0.0,1.0,0
90.24,90.26,0.0,0.0,0.0,2.03,41.59,38.17,2.98,29.95,31.72,1.0,1.0,0.0,0.0,0.0,0
92.36,92.38,0.0,0.0,0.0,2.5,40.43,37.06,2.98,29.32,29.52,1.0,1.0,0.0,0.0,0.0,0
91.19,91.2,0.0,38.54,0.0,2.89,41.15,37.68,2.98,28.9,29.02,1.0,1.0,0.0,1.0,0.0,0
92.33,92.35,0.0,36.2,0.0,3.19,40.26,37.07,2.98,22.1,28.49,1.0,1.0,0.0,1.0,0.0,0
91.47,91.49,0.0,36.0,0.0,3.41,40.82,37.53,2.98,22.65,27.96,1.0,1.0,0.0,1.0,0.0,0
92.19,92.2,0.0,35.44,0.0,3.67,40.49,37.15,2.98,22.55,24.52,1.0,1.0,0.0,1.0,0.0,0
92.55,92.57,0.0,35.8,0.0,3.87,40.37,36.96,2.98,22.89,23.87,1.0,1.0,0.0,1.0,0.0,0
90.9,90.92,0.0,35.56,0.0,4.05,41.32,37.83,2.98,23.32,23.11,1.0,1.0,0.0,1.0,0.0,0
95.33,95.35,0.0,0.0,110.76,4.24,28.76,35.48,2.98,28.86,27.86,1.0,1.0,0.0,0.0,1.0,0
95.32,95.34,0.0,0.0,109.04,4.13,28.99,35.48,2.98,28.78,28.09,1.0,1.0,0.0,0.0,1.0,0
95.01,95.03,0.0,0.0,79.84,4.1,33.15,35.65,2.98,28.88,32.25,1.0,1.0,0.0,0.0,1.0,0
94.82,94.84,0.0,38.2,95.38,4.2,31.24,35.75,2.98,28.14,30.34,1.0,1.0,0.0,1.0,1.0,0
95.11,95.12,0.0,35.76,91.55,4.07,31.42,35.6,2.98,21.9,30.52,1.0,1.0,0.0,1.0,1.0,0
95.53,95.55,0.0,35.74,88.0,3.93,31.61,35.37,2.98,21.52,30.71,1.0,1.0,0.0,1.0,1.0,0
96.16,96.18,0.0,35.58,83.71,3.77,31.77,35.03,2.98,21.15,30.87,1.0,1.0,0.0,1.0,1.0,0
96.0,96.02,0.0,35.79,82.0,3.58,32.02,35.12,2.98,21.11,31.12,1.0,1.0,0.0,1.0,1.0,0
96.6,96.62,0.0,35.8,84.51,3.41,31.3,34.8,2.98,20.75,30.4,1.0,1.0,0.0,1.0,1.0,0
97.01,97.03,0.0,35.09,82.69,3.22,31.25,34.58,2.98,20.64,30.35,1.0,1.0,0.0,1.0,1.0,0
96.54,96.56,0.0,34.71,84.43,3.02,31.23,34.83,2.98,21.01,30.33,1.0,1.0,0.0,1.0,1.0,0
95.44,95.46,0.0,0.0,89.08,2.95,31.3,35.42,2.98,28.13,30.4,1.0,1.0,0.0,0.0,1.0,0
95.28,95.3,0.0,0.0,89.39,3.02,31.37,35.51,2.98,28.24,30.47,1.0,1.0,0.0,0.0,1.0,0
94.76,94.78,0.0,0.0,83.01,3.13,32.52,35.78,2.98,28.56,31.62,1.0,1.0,0.0,0.0,1.0,0
91.92,91.94,0.0,0.0,72.63,3.34,35.81,37.29,2.98,32.54,34.91,1.0,1.0,0.0,0.0,1.0,0
86.88,86.9,0.0,0.0,0.0,3.69,44.39,39.92,2.98,35.38,31.86,1.0,1.0,0.0,0.0,0.0,0
90.4,90.42,0.0,35.89,0.0,4.17,41.63,38.09,2.98,23.56,29.64,1.0,1.0,0.0,1.0,0.0,0
89.97,89.99,0.0,36.06,0.0,4.43,41.95,38.31,2.98,23.84,29.1,1.0,1.0,0.0,1.0,0.0,0
112.41,0.0,0.0,35.46,0.0,4.47,38.58,26.1,2.99,22.75,28.62,1.0,0.0,0.0,1.0,0.0,0
113.23,0.0,0.0,35.32,0.0,4.37,38.19,25.63,2.99,22.3,30.09,1.0,0.0,0.0,1.0,0.0,0
112.89,0.0,0.0,0.0,0.0,4.24,38.41,25.82,2.99,28.98,25.26,1.0,0.0,0.0,0.0,0.0,0
112.79,0.0,0.0,0.0,0.0,4.25,38.45,25.88,2.99,29.05,24.49,1.0,0.0,0.0,0.0,0.0,0
111.85,0.0,0.0,0.0,0.0,4.31,39.05,26.42,2.99,32.25,23.73,1.0,0.0,0.0,0.0,0.0,0
112.28,0.0,0.0,0.0,0.0,4.48,38.74,26.17,2.99,29.16,23.05,1.0,0.0,0.0,0.0,0.0,0
118.15,0.0,0.0,34.92,93.5,4.28,28.06,22.81,2.99,19.74,27.16,1.0,0.0,0.0,1.0,1.0,0
118.59,0.0,0.0,34.7,90.75,3.79,28.11,22.56,2.99,19.49,27.21,1.0,0.0,0.0,1.0,1.0,0
118.27,0.0,0.0,34.65,83.53,3.33,29.17,22.75,2.99,19.76,28.27,1.0,0.0,0.0,1.0,1.0,0
119.13,0.0,0.0,34.51,78.28,2.91,29.24,22.25,2.99,19.25,28.34,1.0,0.0,0.0,1.0,1.0,0
119.09,0.0,0.0,34.19,76.29,2.48,29.44,22.28,2.99,19.37,28.54,1.0,0.0,0.0,1.0,1.0,0
118.85,0.0,0.0,0.0,76.35,2.11,29.72,22.42,2.99,25.69,28.82,1.0,0.0,0.0,0.0,1.0,0
119.32,0.0,0.0,0.0,72.51,1.8,29.83,22.14,2.99,25.35,28.93,1.0,0.0,0.0,0.0,1.0,0
120.52,0.0,0.0,0.0,65.88,1.5,29.82,21.45,2.99,24.62,28.92,1.0,0.0,0.0,0.0,1.0,0
122.49,0.0,0.0,35.07,60.61,1.12,28.95,20.3,2.99,16.76,28.05,1.0,0.0,0.0,1.0,1.0,0
98.92,98.94,0.0,35.48,82.58,0.8,29.4,33.55,2.97,18.79,28.5,1.0,1.0,0.0,1.0,1.0,0
98.01,98.03,0.0,34.69,85.89,0.68,29.41,34.04,2.97,19.67,28.51,1.0,1.0,0.0,1.0,1.0,0
97.86,97.88,0.0,34.24,86.02,0.64,29.46,34.12,2.97,19.94,28.56,1.0,1.0,0.0,1.0,1.0,0
97.5,97.52,0.0,35.94,87.68,0.66,29.55,34.31,2.97,25.41,28.65,1.0,1.0,0.0,1.0,1.0,0
95.41,95.43,0.0,35.68,68.93,0.83,33.15,35.44,2.98,26.46,32.25,1.0,1.0,0.0,1.0,1.0,0
94.95,94.97,0.0,0.0,67.21,1.14,33.74,35.68,2.98,27.39,32.84,1.0,1.0,0.0,0.0,1.0,0
95.57,95.59,0.0,0.0,80.06,1.37,31.91,35.35,2.98,27.21,31.01,1.0,1.0,0.0,0.0,1.0,0
94.01,94.02,0.0,0.0,68.13,1.61,34.61,36.18,2.98,30.85,33.71,1.0,1.0,0.0,0.0,1.0,0
94.21,94.22,0.0,0.0,64.33,1.97,34.98,36.08,2.98,30.96,34.08,1.0,1.0,0.0,0.0,1.0,0
95.82,95.84,0.0,0.0,71.46,2.25,33.03,35.22,2.98,27.42,32.13,1.0,1.0,0.0,0.0,1.0,0
92.12,92.14,0.0,0.0,0.0,2.49,40.56,37.18,2.98,29.15,29.69,1.0,1.0,0.0,0.0,0.0,0
93.31,93.33,0.0,35.91,0.0,2.71,39.58,36.55,2.98,21.66,29.18,1.0,1.0,0.0,1.0,0.0,0
93.28,93.3,0.0,35.96,0.0,2.92,39.66,36.57,2.98,21.74,28.66,1.0,1.0,0.0,1.0,0.0,0
93.71,93.73,0.0,35.58,0.0,3.11,39.49,36.34,2.98,21.76,25.12,1.0,1.0,0.0,1.0,0.0,0
93.19,93.21,0.0,35.73,0.0,3.27,39.82,36.62,2.98,22.03,24.28,1.0,1.0,0.0,1.0,0.0,0
92.56,92.58,0.0,35.73,0.0,3.44,40.22,36.95,2.98,22.36,23.53,1.0,1.0,0.0,1.0,0.0,0
92.76,92.78,0.0,35.7,0.0,3.64,40.17,36.84,2.98,22.4,22.71,1.0,1.0,0.0,1.0,0.0,0
96.44,96.46,0.0,0.0,106.66,3.65,28.58,34.88,2.98,28.02,27.68,1.0,1.0,0.0,0.0,1.0,0
96.31,96.32,0.0,0.0,97.4,3.51,29.97,34.96,2.98,28.07,29.07,1.0,1.0,0.0,0.0,1.0,0
96.3,96.32,0.0,0.0,94.89,3.42,30.28,34.96,2.98,27.98,29.38,1.0,1.0,0.0,0.0,1.0,0
97.24,97.26,0.0,35.79,88.67,3.22,30.33,34.45,2.97,20.54,29.43,1.0,1.0,0.0,1.0,1.0,0
97.22,97.24,0.0,35.85,86.41,3.0,30.57,34.46,2.97,20.38,29.67,1.0,1.0,0.0,1.0,1.0,0
96.96,96.97,0.0,35.58,84.96,2.8,30.86,34.61,2.98,20.66,29.96,1.0,1.0,0.0,1.0,1.0,0
97.88,97.9,0.0,35.18,79.69,2.65,30.96,34.11,2.97,20.18,30.06,1.0,1.0,0.0,1.0,1.0,0
96.97,96.99,0.0,35.18,87.74,2.43,30.37,34.6,2.98,20.67,29.47,1.0,1.0,0.0,1.0,1.0,0
97.48,97.5,0.0,34.87,85.25,2.3,30.37,34.32,2.97,20.5,29.47,1.0,1.0,0.0,1.0,1.0,0
96.59,96.61,0.0,34.45,88.1,2.15,30.42,34.8,2.98,20.89,29.52,1.0,1.0,0.0,1.0,1.0,0
95.47,95.49,0.0,0.0,81.39,2.16,32.02,35.4,2.98,27.81,31.12,1.0,1.0,0.0,0.0,1.0,0
93.45,93.46,0.0,0.0,73.28,2.42,34.56,36.48,2.98,31.45,33.66,1.0,1.0,0.0,0.0,1.0,0
93.61,93.62,0.0,0.0,87.68,2.74,32.74,36.4,2.98,31.44,31.84,1.0,1.0,0.0,0.0,1.0,0
94.54,94.56,0.0,0.0,81.53,2.94,32.77,35.9,2.98,28.4,31.87,1.0,1.0,0.0,0.0,1.0,0
93.44,93.46,0.0,0.0,65.74,3.11,35.32,36.48,2.98,29.11,34.42,1.0,1.0,0.0,0.0,1.0,0
88.56,88.58,0.0,0.0,0.0,3.53,43.32,39.05,2.98,34.52,31.69,1.0,1.0,0.0,0.0,0.0,0
91.14,91.16,0.0,38.27,0.0,4.01,41.46,37.7,2.98,29.45,29.6,1.0,1.0,0.0,1.0,0.0,0
92.33,92.35,0.0,36.27,0.0,4.2,40.56,37.07,2.98,22.45,29.06,1.0,1.0,0.0,1.0,0.0,0
91.67,91.68,0.0,36.17,0.0,4.35,40.98,37.42,2.98,22.94,28.55,1.0,1.0,0.0,1.0,0.0,0
112.53,0.0,0.0,35.73,0.0,4.54,38.54,26.03,2.99,22.4,25.25,1.0,0.0,0.0,1.0,0.0,0
111.99,0.0,0.0,35.98,0.0,4.42,38.73,26.33,2.99,22.88,24.42,1.0,0.0,0.0,1.0,0.0,0
112.83,0.0,0.0,36.17,0.0,4.37,38.36,25.86,2.99,22.36,23.56,1.0,0.0,0.0,1.0,0.0,0
112.95,0.0,0.0,35.53,0.0,4.25,38.28,25.79,2.99,22.45,22.77,1.0,0.0,0.0,1.0,0.0,0
115.35,0.0,0.0,0.0,104.54,4.05,28.49,24.43,2.99,30.61,27.59,1.0,0.0,0.0,0.0,1.0,0
115.27,0.0,0.0,0.0,95.16,3.81,29.81,24.47,2.99,30.6,28.91,1.0,0.0,0.0,0.0,1.0,0
117.5,0.0,0.0,0.0,85.03,3.51,29.65,23.19,2.99,26.52,28.75,1.0,0.0,0.0,0.0,1.0,0
118.71,0.0,0.0,35.06,77.44,3.12,29.6,22.49,2.99,19.23,28.7,1.0,0.0,0.0,1.0,1.0,0
119.75,0.0,0.0,35.11,71.53,2.7,29.62,21.89,2.99,18.63,28.72,1.0,0.0,0.0,1.0,1.0,0
120.17,0.0,0.0,35.07,67.95,2.26,29.7,21.65,2.99,18.29,28.8,1.0,0.0,0.0,1.0,1.0,0
120.97,0.0,0.0,34.85,62.64,1.83,29.73,21.18,2.99,17.87,28.83,1.0,0.0,0.0,1.0,1.0,0
122.45,0.0,0.0,34.04,59.96,1.4,29.08,20.32,2.99,17.08,28.18,1.0,0.0,0.0,1.0,1.0,0
99.21,99.23,0.0,34.75,81.52,0.95,29.44,33.39,2.97,18.94,28.54,1.0,1.0,0.0,1.0,1.0,0
98.26,98.28,0.0,34.74,85.14,0.8,29.43,33.9,2.97,19.53,28.53,1.0,1.0,0.0,1.0,1.0,0
99.2,99.22,0.0,33.95,81.23,0.73,29.41,33.4,2.97,19.14,28.51,1.0,1.0,0.0,1.0,1.0,0
97.49,97.51,0.0,0.0,88.34,0.65,29.5,34.32,2.97,26.17,28.6,1.0,1.0,0.0,0.0,1.0,0
96.62,96.64,0.0,0.0,84.08,0.79,30.62,34.79,2.98,26.7,29.72,1.0,1.0,0.0,0.0,1.0,0
94.47,94.49,0.0,0.0,71.96,1.11,33.76,35.94,2.98,30.38,32.86,1.0,1.0,0.0,0.0,1.0,0
94.07,94.09,0.0,0.0,69.97,1.47,34.33,36.15,2.98,30.74,33.43,1.0,1.0,0.0,0.0,1.0,0
95.98,96.0,0.0,0.0,77.57,1.73,32.06,35.13,2.98,27.1,31.16,1.0,1.0,0.0,0.0,1.0,0
97.17,97.19,0.0,35.28,71.23,1.87,32.09,34.49,2.97,20.11,31.19,1.0,1.0,0.0,1.0,1.0,0
98.52,98.54,0.0,34.74,64.75,1.81,32.09,33.76,2.97,19.72,31.19,1.0,1.0,0.0,1.0,1.0,0
97.24,97.26,0.0,35.28,68.09,1.65,32.32,34.45,2.97,20.06,31.42,1.0,1.0,0.0,1.0,1.0,0
98.17,98.19,0.0,34.98,63.23,1.61,32.37,33.95,2.97,19.69,31.47,1.0,1.0,0.0,1.0,1.0,0
97.07,97.09,0.0,34.55,71.36,1.49,31.97,34.55,2.97,20.25,31.07,1.0,1.0,0.0,1.0,1.0,0
96.64,96.65,0.0,34.11,73.91,1.48,31.88,34.78,2.98,20.53,30.98,1.0,1.0,0.0,1.0,1.0,0
96.93,96.94,0.0,0.0,74.73,1.57,31.82,34.62,2.98,26.72,30.92,1.0,1.0,0.0,0.0,1.0,0
97.09,97.11,0.0,0.0,75.02,1.67,31.73,34.54,2.97,26.74,30.83,1.0,1.0,0.0,0.0,1.0,0
94.74,94.76,0.0,0.0,62.56,1.83,34.8,35.79,2.98,30.68,33.9,1.0,1.0,0.0,0.0,1.0,0
95.66,95.68,0.0,0.0,74.08,2.11,33.01,35.3,2.98,30.39,32.11,1.0,1.0,0.0,0.0,1.0,0
