F_PU10,F_PU11,L_T6,L_T7,P_J307,P_J317,S_PU10,S_PU11,ATTACK_FLAG
31.28,0.0,5.03,2.5,21.87,67.63,1.0,0.0,0
30.34,0.0,5.22,2.63,19.61,68.52,1.0,0.0,0
30.48,0.0,5.47,3.08,19.48,67.93,1.0,0.0,0
31.34,0.0,5.5,3.44,26.88,72.44,1.0,0.0,0
31.39,0.0,5.5,4.03,26.91,72.3,1.0,0.0,0
30.86,0.0,5.5,4.49,26.59,73.77,1.0,0.0,0
0.0,0.0,5.33,4.0,29.63,54.8,0.0,0.0,0
30.66,0.0,4.99,2.29,18.45,66.29,1.0,0.0,0
30.48,0.0,5.09,2.11,17.3,65.76,1.0,0.0,0
30.52,0.0,5.08,1.74,16.95,65.27,1.0,0.0,0
30.88,0.0,4.99,1.22,18.64,65.76,1.0,0.0,0
30.53,0.0,5.05,1.09,19.29,67.58,1.0,0.0,0
30.25,0.0,5.28,1.61,19.58,68.77,1.0,0.0,0
28.9,0.0,5.5,2.36,20.0,73.44,1.0,0.0,0
29.69,0.0,5.5,3.49,27.18,78.18,1.0,0.0,0
0.0,0.0,5.48,4.72,30.58,61.37,0.0,0.0,0
0.0,0.0,5.27,3.83,30.93,60.49,0.0,0.0,0
0.0,0.0,5.03,2.92,30.64,59.0,0.0,0.0,0
31.96,0.0,5.15,3.04,27.33,70.73,1.0,0.0,0
31.83,0.0,5.49,3.77,27.81,71.69,1.0,0.0,0
0.0,0.0,5.5,4.86,28.63,58.12,0.0,0.0,0
0.0,0.0,5.11,3.05,28.85,55.14,0.0,0.0,0
31.52,0.0,4.96,2.05,21.7,66.64,1.0,0.0,0
31.56,0.0,5.08,1.97,22.14,66.95,1.0,0.0,0
31.67,0.0,5.23,2.0,22.45,66.87,1.0,0.0,0
31.47,0.0,5.35,1.96,22.34,67.44,1.0,0.0,0
32.79,0.0,5.5,2.29,30.12,70.55,1.0,0.0,0
32.56,0.0,5.5,2.62,28.4,69.66,1.0,0.0,0
32.37,0.0,5.5,2.77,28.38,70.34,1.0,0.0,0
30.79,0.0,5.5,2.92,20.69,68.09,1.0,0.0,0
31.05,0.0,5.5,2.86,20.71,67.27,1.0,0.0,0
31.09,0.0,5.5,2.6,20.64,67.03,1.0,0.0,0
30.94,0.0,5.5,2.35,20.77,67.69,1.0,0.0,0
30.51,0.0,5.5,2.31,20.38,68.73,1.0,0.0,0
30.33,0.0,5.5,2.53,20.79,69.7,1.0,0.0,0
30.54,0.0,5.5,2.9,20.75,69.01,1.0,0.0,0
30.29,0.0,5.5,3.06,20.83,69.89,1.0,0.0,0
30.76,0.0,5.5,3.47,27.65,75.17,1.0,0.0,0
30.31,0.0,5.5,4.48,28.11,77.12,1.0,0.0,0
0.0,0.0,5.36,4.33,31.91,60.48,0.0,0.0,0
0.0,0.0,5.11,3.27,32.2,59.33,0.0,0.0,0
32.58,0.0,5.02,2.78,28.48,69.7,1.0,0.0,0
30.95,0.0,5.29,3.2,21.4,68.27,1.0,0.0,0
30.48,0.0,5.5,3.43,22.74,71.19,1.0,0.0,0
31.07,0.0,5.5,3.89,22.59,69.08,1.0,0.0,0
30.91,0.0,5.5,3.81,22.53,69.56,1.0,0.0,0
30.53,0.0,5.5,3.86,23.67,71.96,1.0,0.0,0
32.0,0.0,5.5,4.41,29.32,72.58,1.0,0.0,0
0.0,0.0,5.49,4.76,32.54,59.49,0.0,0.0,0
0.0,0.0,5.18,3.33,30.92,57.0,0.0,0.0,0
30.7,0.0,5.12,2.67,19.62,67.34,1.0,0.0,0
30.39,0.0,5.29,2.76,19.32,68.07,1.0,0.0,0
29.8,0.0,5.5,3.08,19.68,70.31,1.0,0.0,0
29.65,0.0,5.5,3.5,19.11,70.23,1.0,0.0,0
29.27,0.0,5.5,3.85,18.65,70.96,1.0,0.0,0
29.72,0.0,5.5,4.3,18.38,69.27,1.0,0.0,0
29.71,0.0,5.5,4.29,17.79,68.71,1.0,0.0,0
31.22,0.0,5.5,4.2,24.5,70.46,1.0,0.0,0
31.74,0.0,5.5,4.33,25.63,69.81,1.0,0.0,0
30.83,0.0,5.5,4.24,26.0,73.28,1.0,0.0,0
0.0,0.0,5.46,4.61,29.2,58.55,0.0,0.0,0
0.0,0.0,5.11,3.0,25.64,58.04,0.0,0.0,0
29.9,0.0,5.09,2.6,20.19,70.51,1.0,0.0,0
29.91,0.0,5.45,3.53,20.43,70.74,1.0,0.0,0
28.05,0.0,5.5,4.63,20.81,76.78,1.0,0.0,0
0.0,0.0,5.34,4.22,30.05,60.43,0.0,0.0,0
0.0,0.0,5.09,3.17,29.97,56.78,0.0,0.0,0
32.26,0.0,5.09,2.7,26.46,68.8,1.0,0.0,0
32.38,0.0,5.34,3.02,26.39,68.31,1.0,0.0,0
30.22,0.0,5.5,3.12,20.34,69.62,1.0,0.0,0
29.84,0.0,5.5,3.38,20.38,70.88,1.0,0.0,0
29.82,0.0,5.5,3.85,20.36,70.94,1.0,0.0,0
29.34,0.0,5.5,4.25,20.52,72.62,1.0,0.0,0
0.0,0.0,5.45,4.58,25.95,55.76,0.0,0.0,0
30.55,0.0,5.0,2.44,20.3,68.53,1.0,0.0,0
32.29,0.0,5.28,2.97,26.68,68.93,1.0,0.0,0
31.17,0.0,5.5,3.29,27.16,73.3,1.0,0.0,0
31.79,0.0,5.5,4.04,28.85,72.84,1.0,0.0,0
32.18,0.0,5.5,4.56,29.13,71.76,1.0,0.0,0
30.62,0.0,5.5,4.63,21.08,69.05,1.0,0.0,0
30.4,0.0,5.5,4.41,21.48,70.2,1.0,0.0,0
30.75,0.0,5.5,4.52,21.06,68.61,1.0,0.0,0
30.5,0.0,5.5,4.22,21.92,70.28,1.0,0.0,0
30.21,0.0,5.5,4.37,22.21,71.52,1.0,0.0,0
29.8,0.0,5.5,4.75,23.3,73.93,1.0,0.0,0
0.0,0.0,5.2,3.4,31.17,58.48,0.0,0.0,0
32.18,0.0,5.09,2.73,28.69,71.31,1.0,0.0,0
32.13,0.0,5.46,3.6,29.15,71.97,1.0,0.0,0
30.06,0.0,5.5,4.78,29.25,79.07,1.0,0.0,0
0.0,0.0,5.27,3.8,32.19,60.07,0.0,0.0,0
0.0,0.0,5.01,2.76,28.49,58.89,0.0,0.0,0
30.64,0.0,5.19,3.1,21.87,69.79,1.0,0.0,0
30.1,0.0,5.5,3.73,21.88,71.56,1.0,0.0,0
30.0,0.0,5.5,4.23,21.59,71.58,1.0,0.0,0
30.28,0.0,5.5,4.66,21.54,70.64,1.0,0.0,0
0.0,0.0,5.46,4.61,27.78,52.21,0.0,0.0,0
31.15,0.0,5.01,2.38,21.18,67.39,1.0,0.0,0
32.86,0.0,5.22,2.56,28.08,68.27,1.0,0.0,0
32.88,0.0,5.42,2.7,28.53,68.64,1.0,0.0,0
32.42,0.0,5.5,3.08,30.49,72.25,1.0,0.0,0
32.41,0.0,5.5,3.6,30.58,72.4,1.0,0.0,0
30.5,0.0,5.5,3.96,22.29,70.68,1.0,0.0,0
30.28,0.0,5.5,4.24,22.03,71.11,1.0,0.0,0
30.94,0.0,5.5,4.56,21.53,68.45,1.0,0.0,0
30.28,0.0,5.5,4.19,21.33,70.44,1.0,0.0,0
30.87,0.0,5.5,4.4,21.3,68.45,1.0,0.0,0
30.37,0.0,5.5,4.07,21.19,69.98,1.0,0.0,0
